기간	기간	실적	실적	실적	실적	실적	실적	실적	실적	실적	실적	전망	전망	전망	전망	전망	전망	전망	전망	전망	전망
기간	기간	전체	기업규모별	기업규모별	업종별	업종별	업종별	업종별	업종별	업종별	업종별	전체	기업규모별	기업규모별	업종별	업종별	업종별	업종별	업종별	업종별	업종별
기간	기간	전체	소기업	소상공인	제조업	건설업	도소매업	숙박 및 음식점업	출판 영상 방송통신 및 정보서비스업	전문 과학 및 기술 서비스업	기타	전체	소기업	소상공인	제조업	건설업	도소매업	숙박 및 음식점업	출판 영상 방송통신 및 정보서비스업	전문 과학 및 기술 서비스업	기타
2012.4/4	구분	92	91.1	92.2	89.7	87.8	94	93.7	79.2	88.4	91.3	-	-	-	-	-	-	-	-	-	-
2013.1/4	구분	93.2	101.2	91.2	90.8	94	94.1	95.1	80	83.1	97.2	92.7	91.4	93	92.1	88.4	94.6	94	75.2	89.6	91.7
2013.2/4	구분	-	-	-	-	-	-	-	-	-	-	92.7	98.5	91.2	91.7	94	92.9	93.9	84	82.3	97
2013.3/4	구분	93.8	93.1	93.9	89.9	90.6	94.9	95.6	82.8	97.6	94.7	-	-	-	-	-	-	-	-	-	-
2013.4/4	구분	96.4	98.3	96	96.7	100.8	95.7	99	89.3	95.5	95.5	94.3	95.3	94.1	92.3	94.2	94.3	96.4	82.4	97.3	96.2
2014.1/4	구분	91.3	95.3	90.4	89.7	89	90.5	96.4	84.3	92.1	92.7	96	97.9	95.6	96.3	101	95.9	96.8	95.3	95.9	93.4
2014.2/4	구분	86	91.9	83.1	82.1	88.6	84.5	84.2	75.7	93.8	91.2	92.8	94.6	92.4	95.2	87.3	91.2	99.6	82	92.9	93.7
2014.3/4	구분	89.2	91.2	88.2	89	94.7	87.3	91.7	79.7	91.1	90.5	89.2	91.8	87.9	90.3	93.6	87.1	89.5	81.6	91.7	91.2
2014.4/4	구분	90.2	91.8	89.4	90.9	94.1	89	89.2	81.2	92.9	92.5	91	89.9	91.6	88.7	94.1	90.5	94.2	87.2	90.4	91.3
2015.1/4	구분	94.4	93.5	94.8	94.9	91.6	94.3	94.9	88.7	92.8	96.3	90.1	89.1	90.6	89.3	89.5	89.3	95.1	78.3	90.9	91.4
2015.2/4	구분	95	94.4	95.3	96.1	98.3	95.4	97.6	88.8	96.5	93.5	96.7	96.9	96.6	96.9	95.6	95.6	96.7	96.9	96.7	97.6
2015.3/4	구분	97.7	98.6	97.3	98.7	98.9	98.3	99.7	93.7	99.6	96.4	94.4	93.4	94.8	96.1	94.3	93.9	96.5	91.2	94.1	93.9
2015.4/4	구분	95.4	95.6	95.4	97.1	96.6	95.3	93.7	93.5	88.8	97.4	95.6	95.1	95.9	98	95.4	94.4	96.7	92.4	94.3	96.2
2016.1/4	구분	96	95.8	96.1	97.9	96	96.4	94.5	88.4	98.8	96.7	96.3	95.9	96.5	96.8	93.7	96	97.6	96.5	89.4	97.9
2016.2/4	구분	96.5	96.5	96.5	96.8	97.7	94.6	96.7	91.8	97.7	97.9	95.2	93.9	95.8	96.1	97.7	95.8	95.1	85.6	97.7	95.4
2016.3/4	구분	92.9	93.9	92.4	91.5	95.5	92.3	90.4	90	97.7	93.9	96.5	96.5	96.5	96.1	98.9	96.4	95.9	91.4	97.7	97.3
2016.4/4	구분	92.5	95.2	91.2	95.4	84.4	89.9	93.5	88.7	95.9	94.5	93.4	93.8	93.2	93.3	96.1	92.1	91.9	91.9	98.8	93.4
2017.1/4	구분	94	88.8	96.1	95.9	78.2	96.4	90.3	93.8	90	96.3	93	93.7	92.6	93.7	95.3	91.6	98.7	86.8	91.9	92.1
2017.2/4	구분	93.5	91.2	94.4	94.5	85.4	94.8	92.1	91.4	90.7	94.9	94.6	91.3	95.9	94	79.8	95.4	92	92.4	95.7	96.9
2017.3/4	구분	92.9	91.8	93.4	93.6	87.5	95	89.2	89.4	90.2	94.5	94	91.2	95.1	96.2	91.9	96	94.7	90.2	89.2	94.2
2017.4/4	구분	92.3	91.1	92.8	92.3	87.7	95.3	89	88.2	92.5	93.2	92.6	92.1	92.8	91.1	87.8	96.3	87.7	88.5	94	93.8
