기간	자치구	지역내총생산(당해년가격)	구성비	지역내총생산(2010년 기준년가격)	전년대비 증감률
2010	서울시	289,718,721	100	289,718,721	…
2010	종로구	23,758,373	8.2	23,758,373	…
2010	중구	44,161,229	15.2	44,161,229	…
2010	용산구	8,403,500	2.9	8,403,500	…
2010	성동구	7,538,623	2.6	7,538,623	…
2010	광진구	5,129,153	1.8	5,129,153	…
2010	동대문구	5,665,921	2	5,665,921	…
2010	중랑구	3,271,449	1.1	3,271,449	…
2010	성북구	4,337,944	1.5	4,337,944	…
2010	강북구	2,515,479	0.9	2,515,479	…
2010	도봉구	2,274,719	0.8	2,274,719	…
2010	노원구	4,131,202	1.4	4,131,202	…
2010	은평구	3,265,441	1.1	3,265,441	…
2010	서대문구	5,516,655	1.9	5,516,655	…
2010	마포구	12,161,145	4.2	12,161,145	…
2010	양천구	5,286,021	1.8	5,286,021	…
2010	강서구	7,056,025	2.4	7,056,025	…
2010	구로구	9,595,985	3.3	9,595,985	…
2010	금천구	11,304,286	3.9	11,304,286	…
2010	영등포구	23,176,053	8	23,176,053	…
2010	동작구	4,718,267	1.6	4,718,267	…
2010	관악구	4,470,763	1.5	4,470,763	…
2010	서초구	23,225,949	8	23,225,949	…
2010	강남구	46,009,396	15.9	46,009,396	…
2010	송파구	16,929,564	5.8	16,929,564	…
2010	강동구	5,815,581	2	5,815,581	…
2011	서울시	303,812,518	100	298,540,198	3
2011	종로구	24,988,465	8.2	24,309,306	2.3
2011	중구	45,664,447	15	44,460,608	0.7
2011	용산구	8,896,375	2.9	8,696,508	3.5
2011	성동구	8,000,721	2.6	7,959,143	5.6
2011	광진구	5,245,378	1.7	5,178,767	1
2011	동대문구	5,858,475	1.9	5,767,969	1.8
2011	중랑구	3,364,929	1.1	3,319,786	1.5
2011	성북구	4,520,079	1.5	4,418,013	1.8
2011	강북구	2,610,296	0.9	2,556,183	1.6
2011	도봉구	2,360,549	0.8	2,320,113	2
2011	노원구	4,472,198	1.5	4,380,385	6
2011	은평구	3,089,450	1	3,016,659	-7.6
2011	서대문구	6,146,206	2	5,961,124	8.1
2011	마포구	13,086,692	4.3	12,886,047	6
2011	양천구	5,507,104	1.8	5,417,623	2.5
2011	강서구	7,559,520	2.5	7,538,115	6.8
2011	구로구	9,868,528	3.2	9,921,098	3.4
2011	금천구	12,106,635	4	12,323,934	9
2011	영등포구	24,603,427	8.1	24,075,896	3.9
2011	동작구	4,855,443	1.6	4,745,310	0.6
2011	관악구	4,664,688	1.5	4,579,172	2.4
2011	서초구	24,534,807	8.1	24,104,560	3.8
2011	강남구	47,455,108	15.6	46,701,363	1.5
2011	송파구	18,195,240	6	17,869,877	5.6
2011	강동구	6,157,760	2	6,032,638	3.7
2012	서울시	313,478,525	100	304,528,910	2
2012	종로구	25,061,092	8	24,419,968	0.5
2012	중구	46,050,828	14.7	45,893,636	3.2
2012	용산구	8,905,758	2.8	8,542,938	-1.8
2012	성동구	8,447,774	2.7	8,265,781	3.9
2012	광진구	5,443,737	1.7	5,222,159	0.8
2012	동대문구	6,301,762	2	6,087,823	5.5
2012	중랑구	3,592,733	1.1	3,473,357	4.6
2012	성북구	4,630,451	1.5	4,438,422	0.5
2012	강북구	2,606,319	0.8	2,492,671	-2.5
2012	도봉구	2,433,429	0.8	2,326,551	0.3
2012	노원구	4,492,191	1.4	4,330,427	-1.1
2012	은평구	3,078,103	1	2,940,519	-2.5
