기간,자치구,동,합계,,,자영업주 및 무급가족,,상용근로자,,임시 및 일용근로자,,기타 종사자,
기간,자치구,동,사업체수,총종사자수,여성종사자수,소계,여성종사자수,소계,여성종사자수,소계,여성종사자수,소계,여성종사자수
2011,합계,합계,"752,285","4,498,312","1,879,230","730,665","301,728","3,048,461","1,228,548","555,124","247,827","164,062","101,127"
2011,종로구,소계,"38,635","232,685","97,917","38,804","15,790","170,200","68,739","18,697","10,604","4,984","2,784"
2011,종로구,사직동,"3,345","45,426","18,456","2,079","1,037","40,460","15,656","2,133","1,252",754,511
2011,종로구,삼청동,543,"4,326","2,204",425,243,"3,436","1,616",438,322,27,23
2011,종로구,부암동,520,"3,303","1,730",505,228,"2,515","1,343",231,124,52,35
2011,종로구,평창동,595,"2,623","1,341",578,307,"1,771",875,267,154,7,5
2011,종로구,무악동,566,"1,412",663,587,160,680,432,141,67,4,4
2011,종로구,교남동,686,"4,497","2,271",685,281,"3,338","1,785",377,138,97,67
2011,종로구,가회동,511,"10,570","3,283",476,260,"9,423","2,634",620,389,51,-
2011,종로구,종로1.2.3.4가동,"15,674","90,997","36,558","15,396","5,892","66,480","25,985","6,994","3,693","2,127",988
2011,종로구,종로5·6가동,"7,347","25,774","9,419","8,152","3,296","15,907","5,226","1,382",812,333,85
2011,종로구,이화동,966,"12,289","7,001",834,367,"8,766","5,089","2,484","1,470",205,75
2011,종로구,혜화동,"1,291","6,503","3,234","1,337",617,"3,695","1,760","1,229",726,242,131
2011,종로구,명륜3가동,286,"2,183",904,320,145,"1,814",733,49,26,-,-
2011,종로구,창신1동,"2,252","6,149","2,902","2,748",990,"2,577","1,411",580,330,244,171
2011,종로구,창신2동,839,"2,111","1,132","1,139",504,766,502,196,121,10,5
2011,종로구,창신3동,265,700,331,287,110,359,197,53,24,1,-
2011,종로구,숭인1동,516,"1,767",957,597,247,791,448,274,187,105,75
2011,종로구,숭인2동,"1,676","6,391","3,387","1,881",702,"3,139","1,672",715,443,656,570
2011,종로구,청운효자동,757,"5,664","2,144",778,404,"4,283","1,375",534,326,69,39
2011,중구,소계,"59,567","371,861","166,660","62,675","27,999","260,182","107,427","32,293","20,216","16,711","11,018"
2011,중구,소공동,"3,291","68,908","30,609","1,939",784,"57,588","23,467","3,428","2,016","5,953","4,342"
2011,중구,회현동,"9,076","51,898","22,444","10,415","5,809","35,389","13,138","3,753","1,971","2,341","1,526"
2011,중구,명동,"6,290","89,367","39,812","4,481","1,939","75,145","31,633","7,410","4,737","2,331","1,503"
2011,중구,필동,"2,564","23,457","10,208","2,221",733,"19,420","8,653","1,147",529,669,293
2011,중구,장충동,789,"11,160","4,587",594,264,"8,769","3,488","1,696",785,101,50
2011,중구,광희동,"9,567","35,759","15,538","10,644","4,415","20,810","8,362","3,352","2,120",953,641
