,기간,자치구,총전입,총전출
0,2014년01월,종로구,"1,661","1,998"
1,2014년02월,종로구,"2,611","2,654"
2,2014년03월,종로구,"2,528","2,725"
3,2014년04월,종로구,"2,337","2,609"
4,2014년05월,종로구,"2,010","2,246"
5,2014년06월,종로구,"1,831","2,125"
6,2014년07월,종로구,"1,856","2,305"
7,2014년08월,종로구,"1,761","1,970"
8,2014년09월,종로구,"1,868","2,018"
9,2014년10월,종로구,"2,012","2,325"
10,2014년11월,종로구,"1,741","2,091"
11,2014년12월,종로구,"1,975","2,418"
12,2015년01월,종로구,"1,815","2,095"
13,2015년02월,종로구,"2,203","2,433"
14,2015년03월,종로구,"3,048","3,038"
15,2015년04월,종로구,"2,002","2,284"
16,2015년05월,종로구,"1,858","2,246"
17,2015년06월,종로구,"1,961","2,386"
18,2015년07월,종로구,"1,995","2,304"
19,2015년08월,종로구,"2,058","2,231"
20,2015년09월,종로구,"2,143","1,940"
21,2015년10월,종로구,"2,041","2,160"
22,2015년11월,종로구,"1,841","1,992"
23,2015년12월,종로구,"1,986","2,361"
24,2016년01월,종로구,"1,853","2,008"
25,2016년02월,종로구,"2,599","2,539"
26,2016년03월,종로구,"2,847","2,679"
27,2016년04월,종로구,"1,769","2,033"
28,2016년05월,종로구,"1,761","2,099"
29,2016년06월,종로구,"1,819","2,199"
30,2016년07월,종로구,"1,675","1,921"
31,2016년08월,종로구,"2,018","2,294"
32,2016년09월,종로구,"1,845","2,053"
33,2016년10월,종로구,"1,861","2,114"
34,2016년11월,종로구,"1,683","2,063"
35,2016년12월,종로구,"1,874","2,384"
36,2017년01월,종로구,"1,513","1,836"
37,2017년02월,종로구,"2,876","2,878"
38,2017년03월,종로구,"4,272","2,963"
39,2017년04월,종로구,"2,412","2,029"
40,2017년05월,종로구,"2,389","2,048"
41,2017년06월,종로구,"2,214","2,079"
42,2017년07월,종로구,"2,306","1,919"
43,2017년08월,종로구,"2,467","2,228"
44,2017년09월,종로구,"2,201","2,146"
45,2017년10월,종로구,"1,722","1,734"
46,2017년11월,종로구,"1,730","1,911"
