,기간,자치구,계
0,2010,종로구,79
1,2011,종로구,97
2,2012,종로구,97
3,2013,종로구,105
4,2014,종로구,141
5,2015,종로구,169
6,2016,종로구,172
7,2017,종로구,166
8,2018,종로구,166
9,2010,성북구,5
10,2011,성북구,5
11,2012,성북구,5
12,2013,성북구,6
13,2014,성북구,6
14,2015,성북구,7
15,2016,성북구,7
16,2017,성북구,9
17,2018,성북구,10
18,2010,마포구,9
19,2011,마포구,12
20,2012,마포구,19
21,2013,마포구,28
22,2014,마포구,29
23,2015,마포구,31
24,2016,마포구,31
25,2017,마포구,30
26,2018,마포구,31
27,2010,금천구,4
28,2011,금천구,3
29,2012,금천구,4
30,2013,금천구,4
31,2014,금천구,4
32,2015,금천구,5
33,2016,금천구,5
34,2017,금천구,5
35,2018,금천구,5
36,2010,서대문구,4
37,2011,서대문구,5
38,2012,서대문구,7
39,2013,서대문구,6
40,2014,서대문구,6
41,2015,서대문구,8
42,2016,서대문구,6
43,2017,서대문구,9
44,2018,서대문구,12
45,2010,도봉구,4
46,2011,도봉구,3
47,2012,도봉구,3
48,2013,도봉구,3
49,2014,도봉구,3
50,2015,도봉구,4
51,2016,도봉구,5
52,2017,도봉구,5
53,2018,도봉구,5
54,2010,송파구,8
55,2011,송파구,12
56,2012,송파구,13
57,2013,송파구,13
58,2014,송파구,14
59,2015,송파구,10
60,2016,송파구,13
61,2017,송파구,11
62,2018,송파구,13
63,2010,노원구,4
64,2011,노원구,4
65,2012,노원구,4
66,2013,노원구,4
67,2014,노원구,4
68,2015,노원구,4
69,2016,노원구,4
70,2017,노원구,5
71,2018,노원구,5
72,2010,은평구,1
73,2011,은평구,1
74,2012,은평구,1
75,2013,은평구,1
76,2014,은평구,1
77,2015,은평구,1
78,2016,은평구,2
79,2017,은평구,2
80,2018,은평구,3
81,2010,광진구,12
82,2011,광진구,12
83,2012,광진구,13
84,2013,광진구,15
85,2014,광진구,15
86,2015,광진구,15
87,2016,광진구,14
88,2017,광진구,13
89,2018,광진구,12
90,2014,동대문구,-
91,2015,동대문구,1
92,2016,동대문구,1
93,2017,동대문구,3
94,2018,동대문구,3
95,2010,관악구,1
96,2011,관악구,1
97,2012,관악구,1
98,2013,관악구,1
99,2014,관악구,1
100,2015,관악구,1
101,2016,관악구,1
102,2017,관악구,1
103,2018,관악구,1
104,2010,성동구,1
105,2011,성동구,1
106,2012,성동구,3
107,2013,성동구,3
108,2014,성동구,3
109,2015,성동구,6
110,2016,성동구,8
111,2017,성동구,8
112,2018,성동구,8
113,2010,구로구,3
114,2011,구로구,7
115,2012,구로구,7
116,2013,구로구,6
117,2014,구로구,6
118,2015,구로구,5
119,2016,구로구,5
120,2017,구로구,6
121,2018,구로구,5
122,2010,중구,27
123,2011,중구,28
124,2012,중구,29
125,2013,중구,30
126,2014,중구,29
127,2015,중구,34
128,2016,중구,27
129,2017,중구,29
130,2018,중구,28
131,2010,영등포구,6
132,2011,영등포구,7
133,2012,영등포구,8
134,2013,영등포구,7
135,2014,영등포구,8
136,2015,영등포구,6
137,2016,영등포구,7
138,2017,영등포구,7
139,2018,영등포구,8
140,2010,강남구,29
141,2011,강남구,26
142,2012,강남구,31
143,2013,강남구,29
144,2014,강남구,29
145,2015,강남구,28
146,2016,강남구,32
147,2017,강남구,34
148,2018,강남구,37
149,2010,서초구,14
150,2011,서초구,16
151,2012,서초구,18
152,2013,서초구,22
153,2014,서초구,22
154,2015,서초구,23
155,2016,서초구,25
156,2017,서초구,29
157,2018,서초구,29
158,2010,강서구,1
159,2011,강서구,1
160,2012,강서구,1
161,2013,강서구,1
162,2014,강서구,1
163,2015,강서구,1
164,2016,강서구,2
165,2017,강서구,2
166,2018,강서구,2
167,2010,양천구,3
168,2011,양천구,3
169,2012,양천구,5
170,2013,양천구,4
171,2014,양천구,5
172,2015,양천구,3
173,2016,양천구,3
174,2017,양천구,3
175,2018,양천구,3
176,2010,강북구,3
177,2011,강북구,3
178,2012,강북구,3
179,2013,강북구,3
180,2014,강북구,3
181,2015,강북구,3
182,2016,강북구,3
183,2017,강북구,3
184,2018,강북구,4
185,기간,자치구,계
186,2010,중랑구,1
187,2011,중랑구,1
188,2012,중랑구,1
189,2013,중랑구,1
190,2014,중랑구,1
191,2015,중랑구,1
192,2016,중랑구,1
193,2017,중랑구,1
194,2018,중랑구,1
195,2010,용산구,1
196,2011,용산구,5
197,2012,용산구,7
198,2013,용산구,6
199,2014,용산구,7
200,2015,용산구,9
201,2016,용산구,9
202,2017,용산구,9
203,2018,용산구,10
204,2010,강동구,2
205,2011,강동구,4
206,2012,강동구,5
207,2013,강동구,5
208,2014,강동구,5
209,2015,강동구,5
210,2016,강동구,5
211,2017,강동구,5
212,2018,강동구,5
213,2013,동작구,1
214,2014,동작구,1
215,2015,동작구,1
216,2016,동작구,1
217,2017,동작구,2
218,2018,동작구,2
