,자치구,합계,남자,여자
0,중구,132913.0,66914.0,65999.0
1,중구,132406.0,66751.0,65655.0
2,중구,131989.0,66514.0,65475.0
3,중구,133193.0,67065.0,66128.0
4,중구,135444.0,68188.0,67256.0
5,중구,135841.0,68351.0,67490.0
6,중구,135274.0,68039.0,67235.0
7,중구,133360.0,67043.0,66317.0
8,중구,132652.0,66605.0,66047.0
9,중구,132042.0,66263.0,65779.0
10,중구,131085.0,65733.0,65352.0
11,중구,130465.0,65371.0,65094.0
12,중구,129940.0,65029.0,64911.0
13,중구,129430.0,64745.0,64685.0
14,중구,128930.0,64465.0,64465.0
15,중구,128065.0,64033.0,64032.0
16,중구,127843.0,63890.0,63953.0
17,중구,126817.0,63292.0,63525.0
18,중구,126257.0,62977.0,63280.0
19,중구,125733.0,62687.0,63046.0
20,중구,125765.0,62653.0,63112.0
21,중구,125457.0,62458.0,62999.0
22,중구,125635.0,62517.0,63118.0
23,중구,125249.0,62204.0,63045.0
24,중구,124312.0,61656.0,62656.0
25,중구,123970.0,61343.0,62627.0
26,중구,125332.0,62011.0,63321.0
27,중구,125709.0,62253.0,63456.0
28,중구,126082.0,62376.0,63706.0
29,중구,126032.0,62260.0,63772.0
30,중구,125815.0,62063.0,63752.0
31,중구,125725.0,61947.0,63778.0
32,종로구,170099.0,84910.0,85189.0
33,종로구,169473.0,84496.0,84977.0
34,종로구,169188.0,84319.0,84869.0
35,종로구,168382.0,83931.0,84451.0
36,종로구,167967.0,83677.0,84290.0
37,종로구,166996.0,83155.0,83841.0
38,종로구,166573.0,82979.0,83594.0
39,종로구,165207.0,82274.0,82933.0
40,종로구,162777.0,81033.0,81744.0
41,종로구,161485.0,80308.0,81177.0
42,종로구,161004.0,80022.0,80982.0
43,종로구,160070.0,79519.0,80551.0
44,종로구,159551.0,79153.0,80398.0
45,종로구,158821.0,78678.0,80143.0
46,종로구,158067.0,78253.0,79814.0
47,종로구,156993.0,77621.0,79372.0
48,종로구,156645.0,77431.0,79214.0
49,종로구,155695.0,76962.0,78733.0
50,종로구,155508.0,76822.0,78686.0
51,종로구,154986.0,76548.0,78438.0
52,종로구,155142.0,76593.0,78549.0
53,종로구,154365.0,76126.0,78239.0
54,종로구,153793.0,75744.0,78049.0
55,종로구,152737.0,75201.0,77536.0
56,종로구,153589.0,75611.0,77978.0
57,종로구,154408.0,75924.0,78484.0
58,종로구,155109.0,76155.0,78954.0
59,종로구,154770.0,75967.0,78803.0
60,종로구,154549.0,75749.0,78800.0
61,종로구,153780.0,75247.0,78533.0
62,종로구,153396.0,75024.0,78372.0
63,종로구,153065.0,74825.0,78240.0
64,용산구,245361.0,119600.0,125761.0
