,기간,자치구,승하차 평균
0,2011년01월,강남구,9686.9
1,2011년02월,강남구,9022.7
2,2011년03월,강남구,10448.3
3,2011년04월,강남구,10207.6
4,2011년05월,강남구,9677.4
5,2011년06월,강남구,9981.6
6,2011년07월,강남구,9814.0
7,2011년08월,강남구,9461.1
8,2011년09월,강남구,9454.6
9,2011년10월,강남구,9626.1
10,2011년11월,강남구,9927.1
11,2011년12월,강남구,9776.4
12,2012년01월,강남구,59596.4
13,2012년02월,강남구,66080.5
14,2012년03월,강남구,63664.4
15,2012년04월,강남구,61610.5
16,2012년05월,강남구,61937.4
17,2012년06월,강남구,62380.8
18,2012년07월,강남구,63211.5
19,2012년08월,강남구,58396.8
20,2012년09월,강남구,59207.0
21,2012년10월,강남구,58385.0
22,2012년11월,강남구,63001.2
23,2012년12월,강남구,60921.9
24,2013년01월,강남구,47843.8
25,2013년02월,강남구,45876.5
26,2013년03월,강남구,46971.2
27,2013년04월,강남구,48685.5
28,2013년05월,강남구,47446.5
29,2013년06월,강남구,44701.0
30,2013년07월,강남구,45970.5
31,2013년08월,강남구,42246.0
32,2013년09월,강남구,40799.8
33,2013년10월,강남구,46771.0
34,2013년11월,강남구,48052.2
35,2013년12월,강남구,47022.5
36,2014년01월,강남구,57643.4
37,2014년02월,강남구,60843.8
38,2014년03월,강남구,60336.6
39,2014년04월,강남구,61191.4
40,2014년05월,강남구,57570.5
41,2014년06월,강남구,56988.1
42,2014년07월,강남구,62226.7
43,2014년08월,강남구,56682.0
44,2014년09월,강남구,54957.2
45,2014년10월,강남구,58125.4
46,2014년11월,강남구,59344.4
47,2014년12월,강남구,62658.4
48,2015년01월,강남구,44241.6
49,2015년02월,강남구,40813.4
50,2015년03월,강남구,45213.9
51,2015년04월,강남구,44219.8
52,2015년05월,강남구,40687.7
53,2015년06월,강남구,39445.3
54,2015년07월,강남구,42712.4
55,2015년08월,강남구,39391.3
56,2015년09월,강남구,39418.2
57,2015년10월,강남구,41711.0
58,2015년11월,강남구,42493.9
59,2015년12월,강남구,43888.1
60,2016년01월,강남구,55073.1
61,2016년02월,강남구,52821.7
62,2016년03월,강남구,58034.9
63,2016년04월,강남구,56049.3
64,2016년05월,강남구,55043.9
65,2016년06월,강남구,56060.9
66,2016년07월,강남구,56655.6
67,2016년08월,강남구,54402.3
68,2016년09월,강남구,50876.6
69,2016년10월,강남구,53922.8
70,2016년11월,강남구,57501.2
71,2016년12월,강남구,58149.7
72,2017년01월,강남구,52908.8
73,2017년02월,강남구,59023.6
74,2017년03월,강남구,57757.4
75,2017년04월,강남구,55423.8
76,2017년05월,강남구,53008.1
77,2017년06월,강남구,55817.1
78,2017년07월,강남구,55436.2
79,2017년08월,강남구,54028.9
80,2017년09월,강남구,56403.0
81,2017년10월,강남구,46746.0
82,2017년11월,강남구,57716.8
83,2017년12월,강남구,57224.4
84,2018년01월,강남구,56593.5
85,2018년02월,강남구,53441.4
86,2018년03월,강남구,57450.9
87,2018년04월,강남구,57081.7
88,2018년05월,강남구,55606.4
89,2018년06월,강남구,54975.9
90,2018년07월,강남구,57877.4
91,2018년08월,강남구,54882.8
92,2018년09월,강남구,50395.2
93,2018년10월,강남구,56373.9
94,2018년11월,강남구,59701.7
95,2018년12월,강남구,56961.6
0,2011년01월,강동구,
1,2011년02월,강동구,
2,2011년03월,강동구,
3,2011년04월,강동구,
4,2011년05월,강동구,
5,2011년06월,강동구,
6,2011년07월,강동구,
7,2011년08월,강동구,
8,2011년09월,강동구,
9,2011년10월,강동구,
10,2011년11월,강동구,
11,2011년12월,강동구,
12,2012년01월,강동구,26089.8
13,2012년02월,강동구,28442.3
14,2012년03월,강동구,29262.3
15,2012년04월,강동구,28728.0
16,2012년05월,강동구,29247.7
17,2012년06월,강동구,28260.6
18,2012년07월,강동구,27148.7
19,2012년08월,강동구,25305.5
20,2012년09월,강동구,27066.2
21,2012년10월,강동구,27664.7
22,2012년11월,강동구,29058.8
23,2012년12월,강동구,28472.9
24,2013년01월,강동구,27733.4
25,2013년02월,강동구,27402.1
26,2013년03월,강동구,28827.4
27,2013년04월,강동구,29430.0
28,2013년05월,강동구,29228.1
29,2013년06월,강동구,27565.5
30,2013년07월,강동구,27286.3
31,2013년08월,강동구,25795.5
32,2013년09월,강동구,25655.7
33,2013년10월,강동구,28403.2
34,2013년11월,강동구,28873.7
35,2013년12월,강동구,28982.8
36,2014년01월,강동구,26392.7
37,2014년02월,강동구,27755.5
38,2014년03월,강동구,28833.7
39,2014년04월,강동구,29388.1
40,2014년05월,강동구,28552.5
41,2014년06월,강동구,27387.9
42,2014년07월,강동구,27871.8
43,2014년08월,강동구,26149.7
44,2014년09월,강동구,26803.0
45,2014년10월,강동구,28606.4
46,2014년11월,강동구,28381.5
47,2014년12월,강동구,29122.9
48,2015년01월,강동구,27296.6
49,2015년02월,강동구,25705.9
50,2015년03월,강동구,29037.9
51,2015년04월,강동구,29285.2
52,2015년05월,강동구,27741.6
53,2015년06월,강동구,25176.9
54,2015년07월,강동구,26146.8
55,2015년08월,강동구,24959.4
56,2015년09월,강동구,25957.4
57,2015년10월,강동구,27534.1
58,2015년11월,강동구,27387.5
59,2015년12월,강동구,28082.9
60,2016년01월,강동구,25286.6
61,2016년02월,강동구,24786.5
62,2016년03월,강동구,27765.4
63,2016년04월,강동구,27366.1
64,2016년05월,강동구,27018.0
65,2016년06월,강동구,26821.5
66,2016년07월,강동구,25617.1
67,2016년08월,강동구,25031.2
68,2016년09월,강동구,25007.1
69,2016년10월,강동구,26416.9
70,2016년11월,강동구,27306.7
71,2016년12월,강동구,27122.8
72,2017년01월,강동구,24283.5
73,2017년02월,강동구,26776.8
74,2017년03월,강동구,27657.3
75,2017년04월,강동구,27376.5
76,2017년05월,강동구,26559.1
77,2017년06월,강동구,27053.3
78,2017년07월,강동구,25502.2
79,2017년08월,강동구,25132.2
80,2017년09월,강동구,27264.4
81,2017년10월,강동구,23890.6
82,2017년11월,강동구,27571.0
83,2017년12월,강동구,26792.3
84,2018년01월,강동구,25564.2
85,2018년02월,강동구,24724.5
86,2018년03월,강동구,27415.5
87,2018년04월,강동구,27498.6
88,2018년05월,강동구,27343.9
89,2018년06월,강동구,26462.7
90,2018년07월,강동구,26200.1
91,2018년08월,강동구,25107.4
92,2018년09월,강동구,24679.5
93,2018년10월,강동구,27352.7
94,2018년11월,강동구,28177.7
95,2018년12월,강동구,26388.5
0,2011년01월,강북구,
1,2011년02월,강북구,
2,2011년03월,강북구,
3,2011년04월,강북구,
4,2011년05월,강북구,
5,2011년06월,강북구,
6,2011년07월,강북구,
7,2011년08월,강북구,
8,2011년09월,강북구,
9,2011년10월,강북구,
10,2011년11월,강북구,
11,2011년12월,강북구,
12,2012년01월,강북구,62221.0
13,2012년02월,강북구,67012.0
14,2012년03월,강북구,70710.3
15,2012년04월,강북구,69681.3
16,2012년05월,강북구,70622.7
17,2012년06월,강북구,67879.0
18,2012년07월,강북구,64309.0
19,2012년08월,강북구,60082.3
20,2012년09월,강북구,66022.0
21,2012년10월,강북구,67594.7
22,2012년11월,강북구,70638.0
23,2012년12월,강북구,67340.3
24,2013년01월,강북구,
25,2013년02월,강북구,
26,2013년03월,강북구,
27,2013년04월,강북구,
28,2013년05월,강북구,
29,2013년06월,강북구,
30,2013년07월,강북구,
31,2013년08월,강북구,
32,2013년09월,강북구,
33,2013년10월,강북구,
34,2013년11월,강북구,
35,2013년12월,강북구,
36,2014년01월,강북구,61780.7
37,2014년02월,강북구,65097.0
38,2014년03월,강북구,69354.7
39,2014년04월,강북구,70574.7
40,2014년05월,강북구,69053.0
41,2014년06월,강북구,65979.0
42,2014년07월,강북구,65733.3
43,2014년08월,강북구,61685.3
44,2014년09월,강북구,65245.0
45,2014년10월,강북구,68124.3
46,2014년11월,강북구,67917.7
47,2014년12월,강북구,69065.7
48,2015년01월,강북구,63624.0
49,2015년02월,강북구,61038.0
50,2015년03월,강북구,69556.3
51,2015년04월,강북구,70898.3
52,2015년05월,강북구,68298.3
53,2015년06월,강북구,63125.0
54,2015년07월,강북구,63397.0
55,2015년08월,강북구,60492.7
56,2015년09월,강북구,64762.0
57,2015년10월,강북구,67876.3
58,2015년11월,강북구,67591.3
59,2015년12월,강북구,68201.0
60,2016년01월,강북구,60675.3
61,2016년02월,강북구,60807.0
62,2016년03월,강북구,69140.0
63,2016년04월,강북구,68396.0
64,2016년05월,강북구,67745.3
65,2016년06월,강북구,66173.7
66,2016년07월,강북구,62893.7
67,2016년08월,강북구,61094.7
68,2016년09월,강북구,62817.0
69,2016년10월,강북구,65487.7
70,2016년11월,강북구,67374.3
71,2016년12월,강북구,66405.0
72,2017년01월,강북구,58697.7
73,2017년02월,강북구,64001.7
74,2017년03월,강북구,67448.3
75,2017년04월,강북구,66218.0
76,2017년05월,강북구,64957.7
77,2017년06월,강북구,65124.3
78,2017년07월,강북구,60938.3
79,2017년08월,강북구,60205.3
80,2017년09월,강북구,60761.7
81,2017년10월,강북구,53493.0
82,2017년11월,강북구,60531.7
83,2017년12월,강북구,58928.0
84,2018년01월,강북구,54779.7
85,2018년02월,강북구,53867.0
86,2018년03월,강북구,59850.0
87,2018년04월,강북구,59391.3
88,2018년05월,강북구,59196.0
89,2018년06월,강북구,57063.7
90,2018년07월,강북구,55138.7
91,2018년08월,강북구,52560.7
92,2018년09월,강북구,53162.0
93,2018년10월,강북구,57757.0
94,2018년11월,강북구,58943.3
95,2018년12월,강북구,56411.0
0,2011년01월,강서구,
1,2011년02월,강서구,
2,2011년03월,강서구,
3,2011년04월,강서구,
4,2011년05월,강서구,
5,2011년06월,강서구,
6,2011년07월,강서구,
7,2011년08월,강서구,
8,2011년09월,강서구,
9,2011년10월,강서구,
10,2011년11월,강서구,
11,2011년12월,강서구,
12,2012년01월,강서구,24792.0
13,2012년02월,강서구,26656.9
14,2012년03월,강서구,27635.9
15,2012년04월,강서구,27277.8
16,2012년05월,강서구,27854.7
17,2012년06월,강서구,26803.6
18,2012년07월,강서구,25708.6
19,2012년08월,강서구,24367.1
20,2012년09월,강서구,25737.8
21,2012년10월,강서구,26286.1
22,2012년11월,강서구,27345.1
23,2012년12월,강서구,26440.6
24,2013년01월,강서구,25724.7
25,2013년02월,강서구,25693.8
26,2013년03월,강서구,27010.2
27,2013년04월,강서구,27784.0
28,2013년05월,강서구,27639.1
29,2013년06월,강서구,26047.0
30,2013년07월,강서구,25556.4
31,2013년08월,강서구,24580.0
32,2013년09월,강서구,24386.3
33,2013년10월,강서구,26818.6
34,2013년11월,강서구,27130.8
35,2013년12월,강서구,27142.6
36,2014년01월,강서구,24597.7
37,2014년02월,강서구,25920.1
38,2014년03월,강서구,27293.9
39,2014년04월,강서구,27817.3
40,2014년05월,강서구,26906.3
41,2014년06월,강서구,26023.9
42,2014년07월,강서구,26320.3
43,2014년08월,강서구,24988.9
44,2014년09월,강서구,25791.7
45,2014년10월,강서구,27210.7
46,2014년11월,강서구,27033.4
47,2014년12월,강서구,27541.4
