,연도,시군구,상권변화
0,2019,강동구,상권축소
1,2018,강동구,상권축소
2,2018,강동구,상권축소
3,2018,강동구,상권축소
4,2018,강동구,상권축소
5,2018,강동구,상권축소
6,2018,강동구,상권축소
7,2018,강동구,상권축소
8,2018,강동구,상권축소
9,2018,강동구,상권축소
10,2018,강동구,상권축소
11,2018,강동구,상권축소
12,2018,강동구,상권축소
13,2018,강동구,상권축소
14,2018,강동구,상권축소
15,2018,강동구,상권축소
16,2018,강동구,상권축소
17,2017,강동구,상권축소
18,2017,강동구,상권축소
19,2017,강동구,상권축소
20,2017,강동구,상권축소
21,2017,강동구,상권축소
22,2017,강동구,상권축소
23,2017,강동구,상권축소
24,2017,강동구,상권축소
25,2017,강동구,상권축소
26,2017,강동구,상권축소
27,2017,강동구,상권축소
28,2017,강동구,상권축소
29,2017,강동구,상권축소
30,2017,강동구,상권축소
31,2017,강동구,상권축소
32,2017,강동구,상권축소
33,2016,강동구,상권축소
34,2016,강동구,상권축소
35,2016,강동구,상권축소
36,2016,강동구,상권축소
37,2016,강동구,상권축소
38,2016,강동구,상권축소
39,2016,강동구,상권축소
40,2016,강동구,상권축소
41,2016,강동구,상권축소
42,2016,강동구,상권축소
43,2016,강동구,상권축소
44,2016,강동구,상권축소
45,2016,강동구,상권축소
46,2016,강동구,상권축소
47,2016,강동구,상권축소
48,2016,강동구,상권축소
49,2015,강동구,상권축소
50,2015,강동구,상권축소
51,2015,강동구,상권축소
52,2015,강동구,상권축소
53,2015,강동구,상권축소
54,2015,강동구,상권축소
55,2015,강동구,상권축소
56,2015,강동구,상권축소
57,2015,강동구,상권축소
58,2015,강동구,상권축소
59,2015,강동구,상권축소
60,2015,강동구,상권축소
61,2015,강동구,상권축소
62,2015,강동구,상권축소
63,2015,강동구,상권축소
64,2015,강동구,상권축소
65,2014,강동구,상권축소
66,2014,강동구,상권축소
67,2014,강동구,상권축소
68,2014,강동구,상권축소
69,2014,강동구,상권축소
70,2014,강동구,상권축소
71,2014,강동구,상권축소
72,2014,강동구,상권축소
73,2014,강동구,상권축소
74,2014,강동구,상권축소
75,2014,강동구,상권축소
76,2014,강동구,상권축소
77,2014,강동구,상권축소
78,2014,강동구,상권축소
79,2014,강동구,상권축소
80,2014,강동구,상권축소
81,2019,송파구,정체
82,2018,송파구,정체
83,2018,송파구,정체
84,2018,송파구,정체
85,2018,송파구,정체
86,2017,송파구,정체
87,2017,송파구,정체
88,2017,송파구,정체
89,2017,송파구,정체
90,2016,송파구,정체
91,2016,송파구,정체
92,2016,송파구,정체
93,2016,송파구,정체
94,2015,송파구,정체
95,2015,송파구,정체
96,2015,송파구,상권축소
97,2015,송파구,상권축소
98,2014,송파구,상권축소
99,2014,송파구,상권축소
100,2014,송파구,상권축소
101,2014,송파구,상권축소
102,2019,강남구,다이나믹
103,2018,강남구,다이나믹
104,2018,강남구,다이나믹
105,2018,강남구,다이나믹
106,2018,강남구,다이나믹
107,2017,강남구,다이나믹
108,2017,강남구,다이나믹
109,2017,강남구,다이나믹
110,2017,강남구,다이나믹
111,2016,강남구,다이나믹
112,2016,강남구,다이나믹
113,2016,강남구,다이나믹
114,2016,강남구,다이나믹
115,2015,강남구,다이나믹
116,2015,강남구,다이나믹
117,2015,강남구,다이나믹
118,2015,강남구,다이나믹
119,2014,강남구,다이나믹
120,2014,강남구,다이나믹
121,2014,강남구,다이나믹
122,2014,강남구,다이나믹
123,2019,서초구,다이나믹
124,2018,서초구,다이나믹
125,2018,서초구,다이나믹
126,2018,서초구,다이나믹
127,2018,서초구,다이나믹
128,2017,서초구,다이나믹
129,2017,서초구,다이나믹
130,2017,서초구,다이나믹
131,2017,서초구,다이나믹
132,2016,서초구,다이나믹
133,2016,서초구,다이나믹
134,2016,서초구,다이나믹
135,2016,서초구,다이나믹
136,2015,서초구,다이나믹
137,2015,서초구,다이나믹
138,2015,서초구,다이나믹
139,2015,서초구,다이나믹
140,2014,서초구,다이나믹
141,2014,서초구,다이나믹
142,2014,서초구,다이나믹
143,2014,서초구,다이나믹
144,2019,관악구,상권축소
145,2018,관악구,상권축소
146,2018,관악구,상권축소
147,2018,관악구,상권축소
148,2018,관악구,상권축소
149,2017,관악구,상권축소
150,2017,관악구,상권축소
151,2017,관악구,상권축소
152,2017,관악구,상권축소
153,2016,관악구,상권축소
154,2016,관악구,상권축소
155,2016,관악구,상권축소
156,2016,관악구,상권축소
157,2015,관악구,상권축소
158,2015,관악구,상권축소
159,2015,관악구,상권축소
160,2015,관악구,상권축소
161,2014,관악구,상권축소
162,2014,관악구,상권축소
163,2014,관악구,상권축소
164,2014,관악구,상권축소
165,2019,동작구,정체
166,2018,동작구,정체
167,2018,동작구,정체
168,2018,동작구,정체
169,2018,동작구,정체
170,2017,동작구,정체
171,2017,동작구,정체
172,2017,동작구,정체
173,2017,동작구,정체
174,2016,동작구,정체
175,2016,동작구,정체
176,2016,동작구,정체
177,2016,동작구,정체
178,2015,동작구,정체
179,2015,동작구,정체
180,2015,동작구,정체
181,2015,동작구,정체
182,2014,동작구,정체
183,2014,동작구,정체
184,2014,동작구,정체
185,2014,동작구,정체
186,2019,영등포구,정체
187,2018,영등포구,정체
188,2018,영등포구,정체
189,2018,영등포구,정체
190,2018,영등포구,정체
191,2017,영등포구,정체
192,2017,영등포구,정체
193,2017,영등포구,정체
194,2017,영등포구,정체
195,2016,영등포구,정체
196,2016,영등포구,정체
197,2016,영등포구,정체
198,2016,영등포구,정체
199,2015,영등포구,정체
200,2015,영등포구,정체
201,2015,영등포구,정체
202,2015,영등포구,정체
203,2014,영등포구,정체
204,2014,영등포구,정체
205,2014,영등포구,정체
206,2014,영등포구,정체
207,2019,금천구,상권확장
208,2018,금천구,상권확장
209,2018,금천구,상권확장
210,2018,금천구,상권확장
211,2018,금천구,상권확장
212,2017,금천구,상권확장
213,2017,금천구,상권확장
214,2017,금천구,상권확장
215,2017,금천구,상권확장
216,2016,금천구,상권확장
217,2016,금천구,상권확장
218,2016,금천구,상권확장
219,2016,금천구,상권확장
220,2015,금천구,상권확장
221,2015,금천구,상권확장
222,2015,금천구,상권확장
223,2015,금천구,상권확장
224,2014,금천구,상권확장
225,2014,금천구,상권확장
226,2014,금천구,상권확장
227,2014,금천구,상권확장
228,2019,구로구,정체
229,2018,구로구,정체
230,2018,구로구,정체
231,2018,구로구,정체
232,2018,구로구,정체
233,2017,구로구,정체
234,2017,구로구,정체
235,2017,구로구,정체
236,2017,구로구,상권확장
237,2016,구로구,상권확장
238,2016,구로구,상권확장
239,2016,구로구,상권확장
240,2016,구로구,상권확장
241,2015,구로구,상권확장
242,2015,구로구,상권확장
243,2015,구로구,상권확장
244,2015,구로구,상권확장
245,2014,구로구,상권확장
246,2014,구로구,상권확장
247,2014,구로구,상권확장
248,2014,구로구,상권확장
249,2019,강서구,다이나믹
250,2018,강서구,다이나믹
251,2018,강서구,다이나믹
252,2018,강서구,다이나믹
253,2018,강서구,다이나믹
254,2017,강서구,다이나믹
255,2017,강서구,다이나믹
256,2017,강서구,다이나믹
257,2017,강서구,다이나믹
258,2016,강서구,다이나믹
259,2016,강서구,다이나믹
260,2016,강서구,다이나믹
261,2016,강서구,다이나믹
262,2015,강서구,다이나믹
263,2015,강서구,다이나믹
264,2015,강서구,다이나믹
265,2015,강서구,다이나믹
266,2014,강서구,다이나믹
267,2014,강서구,다이나믹
268,2014,강서구,다이나믹
269,2014,강서구,다이나믹
270,2019,양천구,상권축소
271,2018,양천구,상권축소
272,2018,양천구,상권축소
273,2018,양천구,상권축소
274,2018,양천구,상권축소
275,2017,양천구,상권축소
276,2017,양천구,상권축소
277,2017,양천구,상권축소
278,2017,양천구,상권축소
279,2016,양천구,상권축소
280,2016,양천구,상권축소
281,2016,양천구,상권축소
282,2016,양천구,상권축소
283,2015,양천구,상권축소
284,2015,양천구,상권축소
285,2015,양천구,상권축소
286,2015,양천구,상권축소
287,2014,양천구,상권축소
288,2014,양천구,상권축소
289,2014,양천구,상권축소
290,2014,양천구,상권축소
291,2019,마포구,다이나믹
292,2018,마포구,다이나믹
293,2018,마포구,다이나믹
294,2018,마포구,다이나믹
295,2018,마포구,다이나믹
296,2017,마포구,다이나믹
297,2017,마포구,다이나믹
298,2017,마포구,다이나믹
299,2017,마포구,다이나믹
300,2016,마포구,다이나믹
301,2016,마포구,다이나믹
302,2016,마포구,다이나믹
303,2016,마포구,다이나믹
304,2015,마포구,다이나믹
305,2015,마포구,다이나믹
306,2015,마포구,다이나믹
307,2015,마포구,다이나믹
308,2014,마포구,다이나믹
309,2014,마포구,다이나믹
310,2014,마포구,다이나믹
311,2014,마포구,다이나믹
312,2019,서대문구,정체
313,2018,서대문구,정체
314,2018,서대문구,정체
315,2018,서대문구,상권축소
316,2018,서대문구,상권축소
317,2017,서대문구,상권축소
